,Project Number,$Incentive,Total Nameplate kW DC,Expected KWh Annual Production
539,2012-500287-Sola,17167.5,9.81,11515.0
540,4001-30096,10500.0,7.2,8452.0
541,2011-159226-SLPR,25872.0,7.39,8675.0
542,2013-538328-Sola,4795.28,7.11,8346.0
543,2011-157470-SLPR,34944.0,8.74,10259.0
544,2011-432750-Sola,6580.0,3.76,4414.0
545,2011-157157-SLPR,40000.0,10.07,11821.0
546,2010-145246-SLPR,25000.0,10.12,11879.0
547,2011-158141-SLPR,30000.0,8.0,9391.0
548,2014-663988-Sola,4494.27,10.0,11738.0
549,2011-440610-Sola,17500.0,10.2,11973.0
550,2014-648175-Sola,2956.22,5.61,6585.0
551,2013-533614-Sola,10748.9,8.12,9532.0
552,2013-532476-Sola,10295.86,8.28,9719.0
553,2014-659059-Sola,5539.84,11.77,13818.0
554,2014-664781-Sola,3759.3,8.42,9878.0
555,2014-664152-Sola,4804.85,9.5,11151.0
556,2011-159709-SLPR,28980.0,8.28,9719.0
557,4009-004,92880.0,23.22,27257.0
558,2014-649461-Sola,3479.29,7.91,9279.0
559,2013-538560-Sola,3750.21,5.25,6163.0
560,2011-432937-SLPR,26460.0,15.12,17748.0
561,4001-99454,1792.0,4.48,5259.0
562,2011-160852-SLPR,35510.0,10.34,12138.0
563,2013-535716-Sola,3930.52,7.5,8804.0
564,2014-661380-Sola,1577.83,3.75,4402.0
565,2013-532192-Sola,8660.7,6.87,8061.0
566,2013-536349-Sola,12325.41,9.81,11515.0
567,2011-188572-SLPR,33547.5,8.95,10506.0
568,2013-586578-Sola,2354.73,4.9,5752.0
569,2013-540722-Sola,2880.44,6.25,7337.0
570,2013-534268-Sola,7240.04,6.24,7325.0
571,2014-648320-Sola,1350.14,3.06,3592.0
572,4030-25695,8050.0,4.6,5400.0
573,2013-535949-Sola,7570.62,6.38,7483.0
574,2014-649423-Sola,2531.91,7.0,8217.0
575,2012-475084-Sola,9432.5,5.39,6327.0
576,2011-161059-SLPR,12650.0,4.6,5400.0
577,2012-470334-Sola,17500.0,10.14,11899.0
578,4006-65216,7140.0,10.2,11973.0
579,2011-150333-SLPR,6918.4,7.52,8827.0
580,4033-57316-GJ,7488.0,9.36,10987.0
581,4011-26866,12250.0,9.0,10565.0
582,4030-21356,9712.5,5.55,6515.0
583,2011-150548-SLPR,4112.5,2.35,2759.0
584,2011-160629-SLPR,25137.0,7.56,8874.0
585,2011-156993-SLPR,12375.0,2.75,3228.0
586,2011-157856-SLPR,18000.0,4.8,5634.0
587,2010-145744-SLPR,19800.0,9.9,11621.0
588,2014-655019-Sola,6431.0,14.03,16463.0
589,4089-51523,3105.0,3.45,4050.0
590,2010-145900-SLPR,14800.0,7.4,8686.0
591,2013-531938-Sola,14323.02,9.81,11515.0
592,2013-636762-Sola,5155.94,10.26,12044.0
593,2011-158332-SLPR,23062.5,6.15,7219.0
594,2011-158801-SLPR,22540.0,6.44,7560.0
595,2014-639949-Sola,2267.71,4.59,5388.0
596,2012-499954-Sola,13650.0,7.8,9156.0
597,2014-639893-Sola,3322.3,9.07,10641.0
598,2014-655827-Sola,3334.46,7.4,8681.0
599,2014-663239-Sola,5691.32,13.2,15495.0
600,2013-528286-Sola,17500.0,10.08,11832.0
601,2014-658679-Sola,5571.2,11.45,13435.0
602,2011-156675-SLPR,29600.0,5.92,6949.0
603,2011-160335-SLPR,26325.0,8.1,9508.0
604,2013-535825-Sola,6698.86,5.39,6327.0
605,4011-30067,10500.0,9.0,10565.0
606,2013-533193-Sola,9464.91,6.87,8061.0
607,2014-638412-Sola,1167.41,4.17,4889.0
608,2011-161021-SLPR,46400.0,10.56,12396.0
609,2011-159030-SLPR,31752.0,9.07,10647.0
610,2011-160403-SLPR,18225.0,6.08,7137.0
611,2011-157356-SLPR,29920.0,7.48,8780.0
612,2012-489988-Sola,8478.75,4.85,5687.0
613,2012-469511-Sola,16595.25,9.48,11132.0
614,2014-646015-Sola,3764.11,7.75,9097.0
615,2013-617076-Sola,4736.51,8.48,9954.0
616,2011-160219-SLPR,35000.0,10.11,11868.0
617,2014-655369-Sola,3731.14,9.25,10858.0
618,4015-008,9360.0,2.34,2747.0
619,2011-158827-SLPR,35000.0,10.12,11879.0
620,4077-014,8880.0,2.22,2606.0
621,2013-530610-Sola,15000.0,10.4,12208.0
622,2011-188591-SLPR,24150.0,6.9,8099.0
623,2014-643594-Sola,3702.37,8.25,9684.0
624,2011-160276-SLPR,10864.0,5.54,6503.0
625,2011-158647-SLPR,14350.0,4.1,4813.0
626,4003-014,16800.0,4.2,4930.0
627,2011-159604-SLPR,29400.0,8.4,9860.0
628,2011-158513-SLPR,47500.0,10.08,11832.0
629,4030-046,20120.0,5.04,5916.0
630,4022-007,33350.0,9.45,11093.0
631,2013-538675-Sola,4441.48,7.0,8217.0
632,2011-448210-Sola,5635.0,3.22,3780.0
633,2014-649691-Sola,3651.49,6.5,7630.0
634,2013-531995-Sola,11992.02,8.06,9461.0
635,2013-536849-Sola,5839.62,5.0,5869.0
636,2013-531009-Sola,16500.0,10.14,11903.0
637,4030-033,18000.0,4.5,5282.0
638,2014-661297-Sola,2194.11,4.34,5089.0
639,2014-663790-Sola,4354.47,8.1,9508.0
640,2011-425804-Sola,10500.0,6.0,7043.0
641,2012-465521-Sola,11445.0,6.54,7677.0
642,2014-663919-Sola,5065.82,11.0,12912.0
643,2013-538372-Sola,7609.75,8.04,9438.0
644,2011-158528-SLPR,35000.0,10.14,11903.0
645,2014-661167-Sola,4526.93,10.71,12572.0
646,2014-643656-Sola,5172.78,10.26,12044.0
647,2011-159185-SLPR,35000.0,10.25,12032.0
648,2012-475451-Sola,54600.0,31.2,36624.0
649,2014-653707-Sola,2709.4,7.65,8980.0
650,2011-158087-SLPR,28687.5,7.65,8980.0
651,2011-159977-SLPR,105050.0,34.02,39934.0
652,2013-527035-Sola,16835.0,9.62,11292.0
653,2014-664306-Sola,2452.9,5.5,6456.0
654,2011-157212-SLPR,16800.0,4.2,4930.0
655,2011-415194-Sola,17500.0,10.11,11862.0
656,2013-585727-Sola,2258.16,4.41,5177.0
657,2014-665447-Sola,1900.61,7.0,8217.0
658,2014-653764-Sola,3448.27,6.25,7337.0
659,4022-31064,8835.0,5.89,6914.0
660,2014-664682-Sola,4036.09,8.93,10477.0
661,2011-158992-SLPR,7392.0,2.11,2477.0
662,2011-157760-SLPR,6240.0,1.66,1949.0
663,4061-045,21200.0,5.4,6339.0
664,2011-158845-SLPR,24948.0,7.13,8369.0
665,2011-159828-SLPR,12600.0,3.6,4226.0
666,2014-640009-Sola,2724.94,5.1,5987.0
667,2012-502605-Sola,14280.0,8.16,9579.0
668,2014-649572-Sola,3717.71,7.91,9279.0
669,2011-159928-SLPR,35000.0,10.13,11891.0
670,2011-440899-Sola,13440.0,7.68,9015.0
671,2014-640367-Sola,1987.99,4.25,4989.0
672,2014-659120-Sola,3748.96,8.67,10177.0
673,2014-648547-Sola,4574.64,9.72,11410.0
674,2013-540136-Sola,62880.21,46.41,54478.0
675,2011-157498-SLPR,37500.0,10.01,11750.0
676,2014-660731-Sola,2015.47,4.85,5687.0
677,2013-533943-Sola,8243.69,5.88,6902.0
678,2013-530163-Sola,3861.0,2.34,2747.0
679,2014-654869-Sola,2018.15,3.75,4402.0
680,2014-650962-Sola,2928.27,5.5,6456.0
681,2014-645925-Sola,2282.92,5.75,6750.0
682,2011-159674-SLPR,23345.0,6.67,7830.0
683,2012-500769-Sola,12600.0,7.2,8452.0
684,2013-531613-Sola,17200.0,18.97,22263.0
685,2011-159779-SLPR,34615.0,9.89,11609.0
686,2014-657139-Sola,5057.04,11.4,13382.0
687,2011-156571-SLPR,48000.0,9.6,11269.0
688,4006-100263,2160.0,5.4,6339.0
689,2011-158684-SLPR,19320.0,5.52,6480.0
690,2011-159360-SLPR,35000.0,13.76,16152.0
691,2014-655332-Sola,1904.52,4.0,4695.0
692,2014-639827-Sola,1105.27,2.39,2800.0
693,2011-161126-SLPR,19799.5,7.2,8452.0
694,2014-645338-Sola,3067.91,5.87,6885.0
695,2011-159504-SLPR,35000.0,10.13,11891.0
696,2013-535521-Sola,14658.62,12.72,14931.0
697,2013-623503-Sola,2316.78,4.66,5464.0
698,2014-663925-Sola,3508.47,8.75,10271.0
699,2014-644955-Sola,5160.54,12.25,14380.0
700,2013-636552-Sola,44890.83,29.21,34282.0
701,2014-648906-Sola,2203.57,4.51,5288.0
702,2011-159241-SLPR,12880.0,3.68,4320.0
703,2011-158760-SLPR,16632.0,4.75,5576.0
704,2013-525160-Sola,17500.0,11.77,13818.0
705,2013-633928-Sola,2324.62,3.5,4108.0
706,2011-448215-Sola,7980.0,4.56,5353.0
707,2011-157151-SLPR,37240.0,9.31,10928.0
708,2014-665440-Sola,4620.63,9.69,11375.0
709,2013-584020-Sola,2792.63,6.67,7830.0
710,2011-159876-SLPR,20475.0,5.85,6867.0
711,2014-645911-Sola,4247.67,8.25,9684.0
712,4014-34952,192224.0,191.36,224626.0
713,2011-157179-SLPR,1000.0,0.25,293.0
714,2014-660638-Sola,3113.36,7.14,8381.0
715,2010-146062-SLPR,20000.0,10.08,11832.0
716,2013-532069-Sola,13000.0,11.25,13206.0
717,2013-542088-Sola,2961.62,5.5,6456.0
718,2011-159234-SLPR,23625.0,6.75,7923.0
719,2011-157438-SLPR,37440.0,9.98,11715.0
720,2011-157941-SLPR,19762.5,5.27,6186.0
721,2011-371423-SLPR,17500.0,10.32,12114.0
722,2011-160469-SLPR,32760.0,9.36,10987.0
723,2013-531503-Sola,7644.0,5.88,6902.0
724,2011-158355-SLPR,21924.0,6.26,7348.0
725,2014-673263-Sola,5417.03,9.86,11574.0
726,2013-538768-Sola,3845.07,5.5,6456.0
727,2011-382720-SLPR,12075.0,6.9,8099.0
728,2014-653955-Sola,2774.46,5.36,6292.0
729,4033-21069,12250.0,8.57,10057.0
730,4030-26092,54570.0,31.2,36624.0
731,4006-78338,6095.0,12.19,14309.0
732,2012-475816-Sola,13734.0,7.85,9212.0
733,2013-531505-Sola,6240.0,4.8,5634.0
734,2011-160412-SLPR,32900.0,9.4,11034.0
735,4033-49119,6552.0,7.28,8546.0
736,2011-159436-SLPR,36288.0,8.06,9461.0
737,2014-646602-Sola,4111.38,8.8,10330.0
738,2014-653921-Sola,4355.93,11.99,14068.0
739,4011-011,21560.0,5.52,6480.0
740,2014-646009-Sola,865.87,2.04,2395.0
741,2014-648453-Sola,2660.19,7.16,8399.0
742,2011-150687-SLPR,17500.0,10.36,12161.0
743,2014-665944-Sola,4672.5,10.71,12572.0
744,4030-20794,8820.0,5.04,5916.0
745,2014-646303-Sola,2474.96,5.0,5869.0
746,2013-584733-Sola,2509.0,6.0,7043.0
747,2011-156680-SLPR,1650.0,0.33,387.0
748,2012-464629-Sola,17500.0,10.08,11832.0
749,2013-537310-Sola,8810.61,9.01,10576.0
750,2011-158858-SLPR,2184.0,0.62,728.0
751,2013-524657-Sola,50050.0,38.5,45193.0
752,2011-157405-SLPR,15750.0,4.2,4930.0
753,2011-158864-SLPR,11088.0,3.17,3721.0
754,2011-158028-SLPR,37500.0,10.26,12044.0
755,2014-650940-Sola,2734.77,5.87,6885.0
756,4030-20124,87500.0,50.6,59396.0
757,2011-160409-SLPR,35000.0,10.08,11832.0
758,2012-471762-Sola,16023.0,9.16,10748.0
759,2014-645194-Sola,5345.15,9.95,11674.0
760,2011-432942-SLPR,87360.0,49.92,58598.0
761,2013-539668-Sola,4957.79,9.16,10748.0
762,2011-414248-Sola,17500.0,10.34,12138.0
763,2012-518564-Sola,32760.0,18.72,21974.0
764,4025-36168,21563.0,18.75,22010.0
765,4054-23845,7525.0,4.3,5048.0
766,4005-032,5750.0,2.3,2700.0
767,2013-535762-Sola,11416.24,9.75,11445.0
768,2013-531243-Sola,7644.0,5.88,6902.0
769,4033-53795,4680.0,5.2,6104.0
770,2014-658744-Sola,3592.56,7.4,8681.0
771,2010-144145-SLPR,27500.0,10.32,12114.0
772,2011-157648-SLPR,34425.0,9.18,10776.0
773,2014-639854-Sola,2456.24,4.59,5388.0
774,2013-534716-Sola,14549.29,11.2,13147.0
775,2014-655035-Sola,991.53,2.0,2348.0
776,2014-648333-Sola,2024.19,4.85,5687.0
777,4030-19435,6020.0,3.44,4038.0
778,2013-540872-Sola,4591.92,10.26,12044.0
779,2011-159452-SLPR,24570.0,7.02,8240.0
780,2012-519417-Sola,10062.5,5.75,6750.0
781,2014-648855-Sola,3924.14,10.25,12032.0
782,2013-534523-Sola,10283.59,7.5,8804.0
783,2013-539497-Sola,4330.05,7.0,8217.0
784,2011-371989-SLPR,6580.0,3.76,4414.0
785,2013-531703-Sola,18593.31,12.22,14344.0
786,2014-640428-Sola,1544.87,4.08,4789.0
787,2013-521858-Sola,10300.5,5.89,6909.0
788,2011-269195-SLPR,9240.0,5.28,6198.0
789,2012-486051-Sola,15120.0,8.64,10142.0
790,2011-156360-SLPR,19200.0,3.2,3756.0
791,2011-159327-SLPR,29106.0,8.32,9766.0
792,2011-156870-SLPR,27054.0,6.01,7055.0
793,2014-646419-Sola,5260.56,10.01,11748.0
794,2010-147340-SLPR,12580.0,6.29,7383.0
795,2013-633961-Sola,3410.35,7.14,8381.0
796,2010-145303-SLPR,25000.0,10.12,11879.0
797,2011-158135-SLPR,16200.0,4.32,5071.0
798,2013-538864-Sola,5387.56,7.84,9203.0
799,2011-440609-Sola,8050.0,4.6,5400.0
800,2011-158400-SLPR,35000.0,10.8,12677.0
801,2010-145791-SLPR,12420.0,4.14,4860.0
802,2011-157465-SLPR,17784.0,3.74,4390.0
803,2012-465859-Sola,11375.0,6.5,7630.0
804,2013-535615-Sola,5793.84,4.75,5576.0
805,4006-42223,4590.0,4.59,5388.0
806,2014-636854-Sola,4397.11,10.71,12572.0
807,2014-664424-Sola,2446.75,4.85,5687.0
808,4054-19551,8750.0,5.04,5916.0
809,2011-158152-SLPR,19031.3,5.08,5963.0
810,2014-664587-Sola,2642.03,5.75,6750.0
811,2012-456399-Sola,137280.0,49.92,58598.0
812,2011-159076-SLPR,19845.0,5.67,6656.0
813,2011-156762-SLPR,15000.0,3.0,3522.0
814,2010-146726-SLPR,20000.0,10.08,11832.0
815,2014-659092-Sola,5566.42,12.75,14966.0
816,4033-36936,13162.0,11.45,13435.0
817,2011-156954-SLPR,44887.5,9.98,11715.0
818,2013-538131-Sola,6485.75,7.19,8445.0
819,4089-67105,20928.0,26.16,30708.0
820,4006-41275,5100.0,5.1,5987.0
821,2011-156365-SLPR,17280.0,2.88,3381.0
822,2011-161044-SLPR,17077.5,6.21,7290.0
823,2011-447588-Sola,14560.0,8.32,9766.0
824,2014-660882-Sola,3250.83,7.14,8381.0
825,2010-147289-SLPR,20000.0,10.34,12138.0
826,4021-001,19008.0,4.75,5578.0
827,2010-149524-SLPR,14217.5,5.17,6069.0
828,4005-049,11920.0,5.28,6198.0
829,2011-159917-SLPR,22575.0,6.45,7571.0
830,2010-147689-SLPR,87500.0,50.83,59666.0
831,2011-160839-SLPR,24700.0,7.92,9297.0
832,2011-158512-SLPR,47500.0,10.08,11832.0
833,2013-534384-Sola,4509.85,3.43,4026.0
834,2014-661106-Sola,2542.18,6.38,7483.0
835,2014-655226-Sola,1487.34,4.91,5758.0
836,2011-157979-SLPR,21937.5,5.85,6867.0
837,2013-628333-Sola,2436.5,5.0,5869.0
838,2013-537712-Sola,12045.96,8.83,10364.0
839,2014-655196-Sola,4767.03,8.75,10271.0
840,2014-643551-Sola,4206.55,8.25,9684.0
841,2013-536347-Sola,9454.84,8.5,9978.0
842,4056-011,100900.0,25.3,29698.0
843,2012-469370-Sola,17500.0,12.22,14344.0
844,2011-157744-SLPR,17040.0,4.54,5329.0
845,2011-346646-SLPR,8540.0,4.88,5728.0
846,2011-159809-SLPR,72500.0,21.0,24651.0
847,2011-159098-SLPR,45000.0,10.08,11832.0
848,2011-157380-SLPR,36120.0,9.03,10600.0
849,2011-440829-Sola,8740.0,4.84,5681.0
850,2013-542693-Sola,4101.0,9.31,10928.0
851,2014-648653-Sola,4027.56,7.95,9332.0
852,2010-148648-SLPR,9712.5,5.55,6515.0
853,2011-157605-SLPR,10125.0,2.7,3169.0
854,2013-625483-Sola,6234.45,13.75,16140.0
855,2011-346659-SLPR,17500.0,10.35,12149.0
856,2014-647926-Sola,3428.77,8.0,9391.0
857,2014-654967-Sola,2405.53,4.86,5705.0
858,2014-640094-Sola,2653.04,6.62,7765.0
859,2011-161144-SLPR,27500.0,10.08,11832.0
860,2012-487804-Sola,15120.0,8.64,10142.0
861,2012-457735-Sola,7840.0,4.48,5259.0
862,2011-414489-Sola,17500.0,11.28,13241.0
863,4054-20708,8820.0,5.04,5916.0
864,2010-145888-SLPR,58548.0,19.52,22909.0
865,2011-150327-SLPR,10780.0,6.16,7231.0
866,2014-646477-Sola,4164.71,7.4,8681.0
867,4054-19778,7350.0,4.2,4930.0
868,2013-538561-Sola,4064.57,5.25,6163.0
869,2013-529455-Sola,16500.0,10.4,12208.0
870,2013-535657-Sola,11938.94,10.6,12443.0
871,2013-631039-Sola,2231.69,4.17,4889.0
872,2012-454440-SLPR,13291.25,7.6,8915.0
873,2014-662733-Sola,3550.37,8.67,10177.0
874,2014-660804-Sola,3178.65,7.91,9285.0
875,2012-456101-SLPR,64240.0,23.36,27421.0
876,2012-487478-Sola,15435.0,8.82,10353.0
877,2013-534548-Sola,13235.07,9.56,11216.0
878,2013-636686-Sola,3844.99,7.85,9212.0
879,2014-649546-Sola,2407.85,5.1,5987.0
880,4116-002,6300.0,1.58,1849.0
881,2011-157019-SLPR,19800.0,4.95,5811.0
882,2014-645324-Sola,4152.75,9.01,10576.0
883,2010-145704-SLPR,14520.0,7.26,8522.0
884,2014-653832-Sola,4117.68,9.57,11234.0
885,4061-22109,12250.0,7.36,8639.0
886,2014-663240-Sola,3632.31,10.2,11973.0
887,4061-23079,11655.0,6.66,7818.0
888,2013-539958-Sola,2187.35,3.92,4601.0
889,2010-148507-SLPR,7875.0,4.5,5282.0
890,2012-464496-Sola,7140.0,4.08,4789.0
891,2014-639939-Sola,4438.67,11.22,13170.0
892,2014-645651-Sola,3997.59,8.48,9954.0
893,4006-67870,3360.0,5.6,6574.0
894,2011-378608-SLPR,5544.65,6.35,7448.0
895,2011-157199-SLPR,39200.0,9.8,11504.0
896,2013-636607-Sola,43743.28,28.32,33243.0
897,4018-34775,6500.0,5.0,5869.0
898,2011-187860-SLPR,24500.0,7.0,8217.0
899,2014-663688-Sola,2750.42,5.89,6909.0
900,2013-528269-Sola,17500.0,13.08,15354.0
901,2013-530944-Sola,13734.0,9.81,11515.0
902,2011-230103-SLPR,6580.0,3.76,4414.0
903,2014-638476-Sola,3968.07,7.84,9203.0
904,4033-51099,6048.0,6.72,7888.0
905,2012-502594-Sola,9432.5,5.39,6327.0
906,2013-631090-Sola,3129.67,6.37,7477.0
907,2011-156643-SLPR,49950.0,9.99,11727.0
908,4018-011,27680.0,7.56,8874.0
909,2011-156348-SLPR,28800.0,4.8,5634.0
910,2014-656054-Sola,2656.61,5.36,6286.0
911,2011-159784-SLPR,35000.0,10.08,11832.0
912,2011-184093-SLPR,34912.5,9.98,11715.0
913,4086-039,200000.0,80.64,94658.0
914,2012-500762-Sola,85750.0,49.0,57518.0
915,4089-23897,7560.0,4.32,5071.0
916,2011-156814-SLPR,2250.0,0.5,587.0
917,2011-157272-SLPR,39936.0,9.98,11715.0
918,2011-188613-SLPR,49500.0,9.9,11621.0
919,2012-518055-Sola,17500.0,10.4,12208.0
920,2013-537897-Sola,8073.26,10.0,11738.0
921,2014-646148-Sola,5504.63,12.65,14849.0
922,2012-457584-Sola,12600.0,7.2,8452.0
923,2011-160664-SLPR,20475.0,6.3,7395.0
924,4006-51874,8829.0,9.81,11515.0
925,2013-537768-Sola,4918.22,5.79,6791.0
926,2011-160321-SLPR,21362.5,6.21,7290.0
927,2013-539677-Sola,4616.7,10.92,12818.0
928,4011-44338,7440.0,7.44,8733.0
929,4014-003-1,157840.0,44.28,51978.0
930,2011-157297-SLPR,9600.0,2.4,2817.0
931,2010-144606-SLPR,15750.0,6.3,7395.0
932,2011-158273-SLPR,19635.0,5.24,6151.0
933,2011-157619-SLPR,37500.0,10.03,11774.0
934,2011-159333-SLPR,34650.0,9.9,11621.0
935,2011-189010-SLPR,49500.0,9.9,11621.0
936,2013-528400-Sola,7140.0,4.08,4789.0
937,2012-479104-Sola,17500.0,10.14,11903.0
938,2012-456601-Sola,17500.0,10.12,11879.0
939,2012-458254-Sola,17500.0,10.12,11879.0
940,2014-646199-Sola,5549.29,12.15,14262.0
941,2011-156686-SLPR,48000.0,9.6,11269.0
942,2011-157734-SLPR,17160.0,4.58,5376.0
943,2011-432305-SLPR,86240.0,49.28,57847.0
944,2011-157185-SLPR,12600.0,3.15,3698.0
945,2013-532857-Sola,4420.4,3.68,4314.0
946,2011-159588-SLPR,34650.0,9.9,11621.0
947,2011-159954-SLPR,35000.0,10.11,11868.0
948,2012-517527-Sola,17500.0,10.05,11791.0
949,4033-47902,10500.0,10.5,12325.0
950,2012-474973-Sola,9047.5,5.17,6069.0
951,2014-646054-Sola,6600.0,23.54,27637.0
952,2014-654862-Sola,2578.57,4.77,5599.0
953,2011-160867-SLPR,32357.5,9.25,10858.0
954,2014-636830-Sola,2690.14,4.83,5670.0
955,2014-664346-Sola,6546.7,11.76,13804.0
956,2011-157579-SLPR,23094.5,4.86,5705.0
957,4015-25710,36052.0,20.6,24182.0
958,2014-648622-Sola,2555.07,6.89,8088.0
959,2013-606285-Sola,2666.54,5.5,6456.0
960,2011-423523-SLPR,29935.12,20.16,23665.0
961,2011-160254-SLPR,10395.0,2.97,3486.0
962,2013-520568-Sola,17500.0,10.04,11785.0
963,2011-157484-SLPR,37440.0,9.98,11715.0
964,2013-538961-Sola,41584.48,28.78,33778.0
965,2014-644748-Sola,1824.93,5.87,6885.0
966,2013-538708-Sola,5895.41,7.75,9097.0
967,2011-346670-SLPR,11672.5,6.67,7830.0
968,2011-161139-SLPR,17599.5,6.48,7606.0
969,2014-660863-Sola,1064.51,3.06,3592.0
970,2011-159854-SLPR,35000.0,10.18,11950.0
971,2010-146966-SLPR,20000.0,10.34,12138.0
972,2014-649578-Sola,1952.18,5.1,5987.0
973,2013-531200-Sola,14595.19,12.74,14955.0
974,2014-655482-Sola,3562.47,9.0,10565.0
975,2013-609618-Sola,4839.9,10.6,12443.0
976,2010-146963-SLPR,19975.0,7.99,9379.0
977,2010-144969-SLPR,12075.0,4.83,5670.0
978,2011-160648-SLPR,19740.0,5.64,6620.0
979,2014-663417-Sola,2990.48,3.06,3592.0
980,4006-44879,6867.0,6.87,8061.0
981,2011-157554-SLPR,23250.0,6.2,7278.0
982,2012-455978-SLPR,15312.5,8.75,10271.0
983,4095-22107,87500.0,55.58,65236.0
984,2013-630242-Sola,2395.66,4.41,5177.0
985,2014-636943-Sola,2505.7,4.91,5758.0
986,2014-642050-Sola,2541.42,5.25,6163.0
987,2011-159467-SLPR,35000.0,10.12,11879.0
988,2013-528309-Sola,11830.0,6.76,7935.0
989,2014-658685-Sola,3949.36,10.07,11821.0
990,2011-159842-SLPR,32340.0,9.24,10846.0
991,2013-539822-Sola,4465.7,8.83,10364.0
992,2014-640391-Sola,2250.06,4.34,5089.0
993,2013-534538-Sola,10328.78,8.82,10353.0
994,2013-520585-Sola,17500.0,10.4,12208.0
995,2014-649428-Sola,3803.99,6.75,7923.0
996,2012-459461-Sola,17500.0,10.24,12020.0
997,2013-542619-Sola,2483.05,5.39,6327.0
998,2014-664526-Sola,4900.03,10.0,11738.0
999,2011-159369-SLPR,34776.0,9.94,11668.0
1000,4001-26030,10080.0,5.76,6761.0
1001,2014-663133-Sola,4658.71,9.44,11075.0
1002,4030-20129,8505.0,4.86,5705.0
1003,4054-19787,4410.0,2.52,2958.0
1004,2011-160198-SLPR,19320.0,5.52,6480.0
1005,4018-64253,4368.0,6.24,7325.0
1006,2014-655964-Sola,4018.64,7.65,8980.0
1007,4006-22154,12250.0,7.05,8276.0
1008,2013-538375-Sola,5215.71,6.75,7923.0
1009,2011-161158-SLPR,22639.5,5.16,6057.0
1010,2011-378398-SLPR,5855.0,7.52,8827.0
1011,2011-156755-SLPR,36000.0,7.2,8452.0
1012,2013-536053-Sola,17004.25,15.7,18425.0
1013,2013-636594-Sola,6600.0,14.54,17068.0
1014,4006-20531,36225.0,20.7,24298.0
1015,2012-464035-Sola,17220.0,9.84,11551.0
1016,2011-158782-SLPR,21840.0,6.24,7325.0
1017,2011-158875-SLPR,35000.0,10.08,11832.0
1018,2013-532400-Sola,8881.72,7.0,8217.0
1019,2014-646254-Sola,2106.49,5.36,6286.0
1020,2013-555393-Sola,1732.96,3.68,4314.0
1021,4030-007,35000.0,10.08,11832.0
1022,2011-157680-SLPR,15750.0,4.2,4930.0
1023,2011-195538-SLPR,17500.0,10.34,12138.0
1024,2014-637036-Sola,3080.81,7.02,8240.0
1025,4040-003,22472.0,5.82,6836.0
1026,2014-660717-Sola,4331.12,8.0,9391.0
1027,2013-538820-Sola,4403.01,5.15,6039.0
1028,2014-648142-Sola,3704.24,8.67,10177.0
1029,2014-665926-Sola,3713.71,7.5,8804.0
1030,2013-540704-Sola,5221.72,10.14,11899.0
1031,4061-073,5040.0,2.52,2958.0
1032,2013-537104-Sola,8297.48,6.5,7630.0
1033,2013-536572-Sola,7285.55,5.88,6902.0
1034,2013-537094-Sola,9173.24,7.5,8804.0
1035,2014-655787-Sola,5135.2,10.35,12149.0
1036,2012-476300-Sola,14105.0,8.06,9461.0
1037,4033-44022,5600.0,5.6,6574.0
1038,2014-646776-Sola,2859.59,6.12,7184.0
1039,2011-157031-SLPR,39600.0,9.9,11621.0
1040,4033-49500,3888.0,6.0,7043.0
1041,2010-147743-SLPR,9712.5,5.55,6515.0
1042,2011-159316-SLPR,35000.0,10.13,11891.0
1043,4003-067,11040.0,3.68,4320.0
1044,2011-158056-SLPR,17550.0,4.68,5494.0
1045,4086-007,8640.0,2.16,2535.0
1046,2013-535935-Sola,15772.15,10.46,12283.0
1047,4001-022,13600.0,4.8,5634.0
1048,4030-23162,6440.0,3.68,4320.0
1049,2011-390617-SLPR,17325.0,9.9,11621.0
1050,2013-530374-Sola,14580.0,9.72,11410.0
1051,2011-159725-SLPR,35000.0,10.14,11903.0
1052,2011-354861-SLPR,7080.96,9.4,11034.0
1053,4033-58138,2800.0,3.5,4108.0
1054,2012-504879-Sola,17500.0,10.14,11903.0
1055,2011-159767-SLPR,28350.0,8.1,9508.0
1056,2012-470831-Sola,14878.5,8.5,9980.0
1057,2014-654855-Sola,5719.39,10.75,12619.0
1058,2011-160090-SLPR,27965.0,7.99,9379.0
1059,2011-159483-SLPR,18060.0,5.16,6057.0
1060,2011-160655-SLPR,31450.0,9.89,11609.0
1061,2011-160447-SLPR,19320.0,5.52,6480.0
1062,2014-661529-Sola,3541.95,7.02,8240.0
1063,2014-655148-Sola,4810.61,9.16,10748.0
1064,2013-542699-Sola,2385.12,5.39,6327.0
1065,2011-160539-SLPR,25760.0,7.36,8639.0
1066,2010-147801-SLPR,3220.0,1.84,2160.0
1067,2011-160091-SLPR,31500.0,9.0,10565.0
1068,2014-649258-Sola,4587.61,9.81,11515.0
1069,2014-646749-Sola,3879.04,7.4,8681.0
1070,4030-20568,8820.0,5.21,6110.0
1071,2011-390944-SLPR,4185.63,4.7,5517.0
1072,4040-19700,87500.0,52.92,62120.0
1073,2011-159765-SLPR,35000.0,10.12,11879.0
1074,2013-536497-Sola,9295.6,10.29,12079.0
1075,2010-145419-SLPR,10350.0,4.14,4860.0
1076,2011-390718-SLPR,87500.0,50.83,59666.0
1077,2013-633947-Sola,4411.93,8.5,9980.0
