,Project Number,Contractor
56309,5137-47044,Sungevity Development LLC
56310,5409-89060,GreenSpark Solar (dba for Sustainable Energy Developments)
56311,68371,SunRun Inc.
56312,69129,Trinity Solar (dba for Trinity Heating and Air)
56313,5105-57959,Kilowatt Systems LLC
56314,5443-102340,SunRun Inc.
56315,5245-97556,"OneRoof Energy NY, LLC"
56316,02019-012,
56317,5114-59564,Sunnova Energy Corp.
56318,5159-100997,Level Solar
56319,5400-98016,SunPower Capital LLC
56320,28808A-2,HPP NY I
56321,5293-80518,Direct Energy Solar (formerly Astrum)
56322,5166-47102,SunRun Inc.
56323,5144-48143,"Solar Dad & Sons, Inc."
56324,02093-005,Trinity Heating & Air Inc.
56325,5159-66570,Level Solar
56326,5159-54248,Level Solar
56327,5100-67583,Posigen New York LLC
56328,5105-59337,Kilowatt Systems LLC
56329,02086-009,"Global Resources Options, Inc."
56330,02030-125,Hudson Valley Clean Energy
56331,5229-82102,Halco Renewable Energy (dba for Halcyon)
56332,5159-63803,Level Solar
56333,5247-97403,"Renovus Energy, Inc"
56334,5194-62744,GreenLeaf Solar
56335,5098-95914,NRG Residential Solar Solutions
56336,28799-4,Safari Energy LLC
56337,02054-008,AY Solar
56338,5295-82812,"ForeFront Power, LLC"
56339,68510,Vivint Solar Development LLC
56340,02033-007,"Renovus Energy, Inc"
56341,5230-79227-GJ,Green Logic LLC
56342,5293-83702,Direct Energy Solar (formerly Astrum)
56343,5407-83010,"Bright Power, Inc."
56344,66074,Tesla Energy Operations Inc.
56345,5128-68968,"Sundog Solar, Inc."
56346,5100-83065,Posigen New York LLC
56347,5336-102447,Kasselman Solar LLC
56348,5153-64427,SunRun Inc.
56349,02012-026,"Prime Energy Solutions, Inc."
56350,5098-89062,NRG Residential Solar Solutions
56351,5098-83014,NRG Residential Solar Solutions
56352,5209-77535,SunRun Inc.
56353,5171-56140,1st Light Energy
56354,68000,Sungevity Inc
56355,5290-54171,Amergy Solar Inc.
56356,5159-102291,Level Solar
56357,5245-98004,"OneRoof Energy NY, LLC"
56358,5292-68591,SunPower Capital LLC
56359,02006-011,"ETM Solar Works, Inc."
56360,5159-78700,Level Solar
56361,5247-62698,"Renovus Energy, Inc"
56362,5104-49197,SunRun Inc.
56363,5104-42466,SunRun Inc.
56364,5159-72046,Level Solar
56365,5138-98739,Sungevity Inc
56366,5297-97437,SunPower Capital LLC
56367,37868-1,Tesla Energy Operations Inc
56368,5156-50351,Long Island Power Solutions
56369,5105-44797,Kilowatt Systems LLC
56370,5321-92794,Long Island Power Solutions
56371,66066,SunRun Inc.
56372,68199,Sungevity Inc
56373,5165-69381,SunPower Capital LLC
56374,5320-70505,Sunnova Energy Corp.
56375,5438-101376,Vivint Solar Development LLC
56376,5209-71414,SunRun Inc.
56377,68859,Trinity Solar (dba for Trinity Heating and Air)
56378,5171-100500,1st Light Energy
56379,5321-0112-Financing,Long Island Power Solutions
56380,5098-87052,NRG Residential Solar Solutions
56381,5373-100432,"Empire Solar Solutions, LLC"
56382,5293-58667-GJ,Direct Energy Solar (formerly Astrum)
56383,5171-88842,1st Light Energy
56384,5115-45822,Green Hybrid Energy Solutions
56385,5352-88432,Halco Renewable Energy (dba for Halcyon)
56386,5286-66259,
56387,5149-52359,INNOVATED ENERGY SOLUTIONS
56388,5128-48916-GJ,"Sundog Solar, Inc."
56389,5247-63560,"Renovus Energy, Inc"
56390,5230-89485-GJ,Green Logic LLC
56391,51548,Level Solar
56392,5122-101442,Kasselman Solar LLC
56393,5159-46599,Level Solar
56394,5373-99698,"Empire Solar Solutions, LLC"
56395,5321-67104,Long Island Power Solutions
56396,5159-81653,Level Solar
56397,5159-58806,Level Solar
56398,5118-43736,Sungevity Development LLC
56399,5247-75472,"Renovus Energy, Inc"
56400,02030-145,Hudson Valley Clean Energy
56401,5155-78644-IRH,Patriot Energy Solutions Corp.
56402,5171-60327,1st Light Energy
56403,5171-54472,1st Light Energy
56404,5171-94270,1st Light Energy
56405,5118-43353,Sungevity Development LLC
56406,5122-100215,Kasselman Solar LLC
56407,5159-94825,Level Solar
56408,5171-57274,1st Light Energy
56409,5293-75521-GJ,Direct Energy Solar (formerly Astrum)
56410,5297-71552,SunPower Capital LLC
56411,02062-002,"SunWize Technologies, Inc."
56412,68822,SunRun Inc.
56413,67938,Direct Energy Solar (formerly Astrum)
56414,5293-90770,Direct Energy Solar (formerly Astrum)
56415,5293-59784-GJ,Direct Energy Solar (formerly Astrum)
56416,5138-70237,Sungevity Inc
56417,31343-1,OnForce Solar
56418,02003-046,"Renewable Power Systems, LLC"
56419,5159-89557,Level Solar
56420,48651,Sungevity Inc
56421,5171-83052,1st Light Energy
56422,5292-65079,SunPower Capital LLC
56423,5105-57221,Kilowatt Systems LLC
56424,5114-64375,Sunnova Energy Corp.
56425,5336-100207,Kasselman Solar LLC
56426,5247-81005,"Renovus Energy, Inc"
56427,02030-031,Hudson Valley Clean Energy
56428,5105-57735,Kilowatt Systems LLC
56429,49788-1,"City of New York, Dept. of Citywide"
56430,5148-76931,New York Solar Solutions LLC
56431,5153-59724,SunRun Inc.
56432,5162-49968-GJ,SunRise Energy Concepts
56433,5159-61479,Level Solar
56434,02056-033,ISI Solar
56435,5352-87157,Halco Renewable Energy (dba for Halcyon)
56436,5098-87238,NRG Residential Solar Solutions
56437,5293-93185,Direct Energy Solar (formerly Astrum)
56438,02098A-004,
56439,49847A-1,1406RB PV LLC
56440,5156-62747,Long Island Power Solutions
56441,5324-79472,"NY SunEdison Residential Services, LLC"
56442,5129-57308-GJ,"OnForce Solar, Inc."
56443,68592,CIR Electrical Construction Corp.
56444,5425-98733,Kilowatt Systems LLC
56445,5293-46980,Direct Energy Solar (formerly Astrum)
56446,5292-55422,SunPower Capital LLC
56447,66081,Proven Energy Systems
56448,5321-94824-GJ,Long Island Power Solutions
56449,5292-54162,SunPower Capital LLC
56450,5140-56853-GJ,BUILT WELL SOLAR CORP
56451,5159-52290-JP,Level Solar
56452,5159-59262,Level Solar
56453,5122-47745,Kasselman Solar LLC
56454,5105-60628,Kilowatt Systems LLC
56455,5247-78468,"Renovus Energy, Inc"
56456,5293-76510-GJ,Direct Energy Solar (formerly Astrum)
56457,5098-87340,NRG Residential Solar Solutions
56458,5156-52936,Long Island Power Solutions
56459,5193-90852,SunPower Capital LLC
56460,5137-45958,Sungevity Development LLC
56461,5220-50527,Dow Chemical
56462,49770-1,"City of New York, Dept. of Citywide"
56463,5293-91151,Direct Energy Solar (formerly Astrum)
56464,5098-91546,NRG Residential Solar Solutions
56465,5181-96115,Grid City Electric Corp
56466,5159-72026,Level Solar
56467,5292-58713,SunPower Capital LLC
56468,5105-57666,Kilowatt Systems LLC
56469,5321-0026-Financing,Long Island Power Solutions
56470,5293-66061-GJ,Direct Energy Solar (formerly Astrum)
56471,5407-88826,"Bright Power, Inc."
56472,5171-71431,1st Light Energy
56473,5173-73416,SunRun Inc.
56474,5293-81042,Direct Energy Solar (formerly Astrum)
56475,5137-65153,Sungevity Development LLC
56476,68769,Tesla Energy Operations Inc.
56477,5293-92806,Direct Energy Solar (formerly Astrum)
56478,68985,Trinity Solar (dba for Trinity Heating and Air)
56479,02018-022,"Finger Lakes Renewable Energy, LLC"
56480,02086-014,"Global Resources Options, Inc."
56481,5137-51704,Sungevity Development LLC
56482,5293-77689-GJ,Direct Energy Solar (formerly Astrum)
56483,5159-80295,Level Solar
56484,5159-90803,Level Solar
56485,5292-38248,SunPower Capital LLC
56486,5293-99360,Direct Energy Solar (formerly Astrum)
56487,5129-49597-GJ,"OnForce Solar, Inc."
56488,5138-61699-GJ,Sungevity Inc
56489,5427-102024,"Green Street Power Partners, LLC"
56490,5336-88952,Kasselman Solar LLC
56491,5111-72036,"Barton's Custom Fabrication, LLC"
56492,5401-92429,"Safari Energy, LLC"
56493,5124-97232,"Steed Energy, LLC"
56494,5200-50938,National Energy Connection
56495,5159-78668,Level Solar
56496,5159-65346,Level Solar
56497,5138-60883,Sungevity Inc
56498,68457,Tesla Energy Operations Inc.
56499,66098,Tesla Energy Operations Inc.
56500,5159-60281,Level Solar
56501,5098-89396YY,NRG Residential Solar Solutions
56502,5160-78066,Vivint Solar Development LLC
56503,5122-68383,Kasselman Solar LLC
56504,5209-75311,SunRun Inc.
56505,5156-61653,Long Island Power Solutions
56506,5156-61556,Long Island Power Solutions
56507,5136-53412,Dow Chemical
56508,5297-94778,SunPower Capital LLC
56509,5098-83145,NRG Residential Solar Solutions
56510,5171-56199,1st Light Energy
56511,41218A-1,Global Resource Funding Partners LLC
56512,5122-96871,Kasselman Solar LLC
56513,02006-016,"ETM Solar Works, Inc."
56514,02061-066,Hudson Valley Clean Energy
56515,68020,Fuze Solar (dba for NJP Consulting Inc.)
56516,5181-90200,Grid City Electric Corp
56517,5321-94617,Long Island Power Solutions
56518,5105-63683,Kilowatt Systems LLC
56519,5105-53661,Kilowatt Systems LLC
56520,5159-72032,Level Solar
56521,5121-77202,"Geo of Camden, LLC (Camden Renewable Energy Systems)"
56522,5245-97327,"OneRoof Energy NY, LLC"
56523,5347-94162,SunRun Inc.
56524,5159-90345,Level Solar
56525,5137-68201,Sungevity Development LLC
56526,68733,Trinity Solar (dba for Trinity Heating and Air)
56527,5181-0012-Financing,Grid City Electric Corp
56528,5245-98615,"OneRoof Energy NY, LLC"
56529,5293-57450,Direct Energy Solar (formerly Astrum)
56530,5273-78469,"Green Street Power Partners, LLC"
56531,5379-96828,SunPower Capital LLC
56532,5159-68633,Level Solar
56533,5137-51722,Sungevity Development LLC
56534,5105-51473,Kilowatt Systems LLC
56535,02117-001-1,1st Light Energy
56536,5115-55066-GJ,Green Hybrid Energy Solutions
56537,51586,Sea Bright Solar
56538,5105-61126,Kilowatt Systems LLC
56539,5153-75278,SunRun Inc.
56540,5098-83031,NRG Residential Solar Solutions
56541,02011-038-1,Triangle Electrical Systems
56542,5400-101959,SunPower Capital LLC
56543,02095-011,"Solar Energy Systems, Inc."
56544,5105-53046,Kilowatt Systems LLC
56545,5352-81931,Halco Renewable Energy (dba for Halcyon)
56546,5154-49234-IRH,"CLEAN ENERGY SOLUTIONS, LLC"
56547,5247-73177,"Renovus Energy, Inc"
56548,5159-80316,Level Solar
56549,5273-83870,"Green Street Power Partners, LLC"
56550,5170-89068,R & B Quality Electric
56551,5411-97972,SunPower Capital LLC
56552,5138-67606-GJ,Sungevity Inc
56553,5388-88149,Kilowatt Systems LLC
56554,5292-57617,SunPower Capital LLC
56555,5159-70097,Level Solar
56556,5159-93211,Level Solar
56557,02056-021,ISI Solar
56558,5409-72767,GreenSpark Solar (dba for Sustainable Energy Developments)
56559,5159-63387,Level Solar
56560,5165-55682,SunPower Capital LLC
56561,5171-59856,1st Light Energy
56562,5165-53865,SunPower Capital LLC
56563,5122-92013,Kasselman Solar LLC
56564,5293-86020-IRH,Direct Energy Solar (formerly Astrum)
56565,5247-83990,"Renovus Energy, Inc"
56566,68106,"Ecovis, Inc. (formerly Quality Solar)"
56567,5166-53561,SunRun Inc.
56568,5159-66979,Level Solar
56569,5098-93574,NRG Residential Solar Solutions
56570,5293-84078,Direct Energy Solar (formerly Astrum)
56571,5320-73495,Sunnova Energy Corp.
56572,67761,"SuNation Solar Systems, Inc."
56573,5138-81152,Sungevity Inc
56574,02030-041,Hudson Valley Clean Energy
56575,5098-86598,NRG Residential Solar Solutions
56576,5218-64100,"Accord Power, Inc."
56577,67783,SunRun Inc.
56578,67680,Posigen New York LLC
56579,5320-77795,Sunnova Energy Corp.
56580,5247-83117,"Renovus Energy, Inc"
56581,31336A-1,"SunE P11C Holdings, LLC"
56582,5293-50703-GJ,Direct Energy Solar (formerly Astrum)
56583,5352-83967,Halco Renewable Energy (dba for Halcyon)
56584,5247-96483,"Renovus Energy, Inc"
56585,5156-54032,Long Island Power Solutions
56586,68529,SunRun Inc.
56587,5156-62330-GJ,Long Island Power Solutions
56588,5167-93776,"Borrego Solar Systems, Inc."
56589,5159-77767,Level Solar
56590,49783-1,"City of New York, Dept. of Citywide"
56591,5137-94179,Sungevity Development LLC
56592,5098-88444,NRG Residential Solar Solutions
56593,5115-60112-GJ,Green Hybrid Energy Solutions
56594,5142-96365-GJ,HORIZON SOLAR LLC
56595,5098-83313,NRG Residential Solar Solutions
56596,5105-45235,Kilowatt Systems LLC
56597,5105-58378,Kilowatt Systems LLC
56598,5373-79169,"Empire Solar Solutions, LLC"
56599,5098-96876,NRG Residential Solar Solutions
56600,5159-62603,Level Solar
56601,5142-46612-GJ,HORIZON SOLAR LLC
56602,5171-98903,1st Light Energy
56603,5293-86581,Direct Energy Solar (formerly Astrum)
56604,5159-70974,Level Solar
56605,68396,Vivint Solar Development LLC
56606,5153-58266,SunRun Inc.
56607,69056,Tesla Energy Operations Inc.
56608,5322-83622,"NY SunEdison Residential Services, LLC"
56609,02023-012,Vermont Solar Engineering
56610,5171-56811,1st Light Energy
56611,5144-87441,"Solar Dad & Sons, Inc."
56612,5411-97195,SunPower Capital LLC
56613,5321-81679,Long Island Power Solutions
56614,5297-102759,SunPower Capital LLC
56615,5441-100628,Finger Lakes Solar (dba for Dailey Electric)
56616,5159-67979,Level Solar
56617,5397-98722,Posigen New York LLC
56618,5105-54137,Kilowatt Systems LLC
56619,68643,Vivint Solar Development LLC
56620,5247-63658,"Renovus Energy, Inc"
56621,5292-45195,SunPower Capital LLC
56622,5142-62970,HORIZON SOLAR LLC
56623,5159-71166,Level Solar
56624,02001-032,"Great Brook Solar NRG, LLC"
56625,5273-83594,"Green Street Power Partners, LLC"
56626,5377-95875,AEC Energy Corp./American Energy Care
56627,02094-018,The Solar Center
56628,5098-82778,NRG Residential Solar Solutions
56629,5395-98025,Venture Home Solar LLC
56630,5220-53572,Dow Chemical
56631,5121-87140,"Geo of Camden, LLC (Camden Renewable Energy Systems)"
56632,5165-64745,SunPower Capital LLC
56633,5230-81444-GJ,Green Logic LLC
56634,5170-67257,R & B Quality Electric
56635,5159-48158,Level Solar
56636,5352-88390,Halco Renewable Energy (dba for Halcyon)
56637,5137-88797,Sungevity Development LLC
56638,5137-49681,Sungevity Development LLC
56639,5138-75484,Sungevity Inc
56640,68576,Vivint Solar Development LLC
56641,5159-70386,Level Solar
56642,5400-93439,SunPower Capital LLC
56643,02001-012,"Great Brook Solar NRG, LLC"
56644,5156-65855,Long Island Power Solutions
56645,5140-92855-GJ,BUILT WELL SOLAR CORP
56646,5122-60560-GJ,Kasselman Solar LLC
56647,5321-0232-Financing,Long Island Power Solutions
56648,5247-67642,"Renovus Energy, Inc"
56649,5138-90639,Sungevity Inc
56650,5293-77211,Direct Energy Solar (formerly Astrum)
56651,5159-66497,Level Solar
56652,02004-001,NYECOR Electrical  Construction NY Solar Authority
56653,24800-13,SunRay Power LLC
56654,5321-78375,Long Island Power Solutions
56655,48154,Posigen New York LLC
56656,5098-91703,NRG Residential Solar Solutions
56657,5247-67644,"Renovus Energy, Inc"
56658,5159-80265,Level Solar
56659,5292-55328,SunPower Capital LLC
56660,5397-93454,Posigen New York LLC
56661,02095-010,"Solar Energy Systems, Inc."
56662,02040-004,"Sunnyside Solar, Inc."
56663,5153-56656,SunRun Inc.
56664,5162-61798,SunRise Energy Concepts
56665,5159-84237,Level Solar
56666,5159-89077,Level Solar
56667,5209-65997,SunRun Inc.
56668,5181-66213-GJ,Grid City Electric Corp
56669,5122-66443-GJ,Kasselman Solar LLC
56670,5105-58871,Kilowatt Systems LLC
56671,68765,"Renovus Energy, Inc"
56672,5320-70979,Sunnova Energy Corp.
56673,5153-83932,SunRun Inc.
56674,02061-080,Hudson Valley Clean Energy
56675,5247-66329,"Renovus Energy, Inc"
56676,5138-52523,Sungevity Inc
56677,5138-60411,Sungevity Inc
56678,5159-71592,Level Solar
56679,5274-71996,SunRun Inc.
56680,5125-67591,Geotherm Inc
56681,67906,SunRun Inc.
56682,69114,Green Logic LLC
56683,5247-85782,"Renovus Energy, Inc"
56684,5159-67425,Level Solar
56685,5297-88807,SunPower Capital LLC
56686,5129-43842-GJ,"OnForce Solar, Inc."
56687,5148-54405,New York Solar Solutions LLC
56688,5098-85455,NRG Residential Solar Solutions
56689,5293-76705,Direct Energy Solar (formerly Astrum)
56690,5171-101398,1st Light Energy
56691,5411-97965,SunPower Capital LLC
56692,02023-007,Vermont Solar Engineering
56693,5318-94790,"Cypress Creek Renewables, LLC"
56694,5171-101470,1st Light Energy
56695,5409-78912,GreenSpark Solar (dba for Sustainable Energy Developments)
56696,5292-48185,SunPower Capital LLC
56697,5274-67015,SunRun Inc.
56698,5321-96241,Long Island Power Solutions
56699,5347-83930,SunRun Inc.
56700,5137-102532,Sungevity Development LLC
56701,5209-61503,SunRun Inc.
56702,5140-51120-GJ,BUILT WELL SOLAR CORP
56703,5159-90791,Level Solar
56704,02009-002,"Tristate Solar, Inc."
56705,02158-005,
56706,5293-70324-GJ,Direct Energy Solar (formerly Astrum)
56707,02061-033,Hudson Valley Clean Energy
56708,5118-44803,Sungevity Development LLC
56709,5373-101181,"Empire Solar Solutions, LLC"
56710,5297-92248,SunPower Capital LLC
56711,5105-55679,Kilowatt Systems LLC
56712,5247-88198,"Renovus Energy, Inc"
56713,5171-72820,1st Light Energy
56714,5336-70765,Kasselman Solar LLC
56715,5159-54236,Level Solar
56716,5297-72242,SunPower Capital LLC
56717,68213,Tesla Energy Operations Inc.
56718,5138-102357,Sungevity Inc
56719,66649,"Greenskies Renewable Energy, LLC"
56720,5137-97147,Sungevity Development LLC
56721,5098-96424,NRG Residential Solar Solutions
56722,02003-018,"Renewable Power Systems, LLC"
56723,68942,Kasselman Solar LLC
56724,5292-62109,SunPower Capital LLC
56725,5159-60269,Level Solar
56726,5293-57545,Direct Energy Solar (formerly Astrum)
56727,5209-64772,SunRun Inc.
56728,02003-020-1,"Renewable Power Systems, LLC"
56729,5425-101493,Kilowatt Systems LLC
56730,5181-82629,Grid City Electric Corp
56731,5137-49951,Sungevity Development LLC
56732,5159-78796,Level Solar
56733,5160-101858,Vivint Solar Development LLC
56734,5400-100541,SunPower Capital LLC
56735,33549-1,Manheim Remarketing Inc.
56736,02003-047-2,"Renewable Power Systems, LLC"
56737,5321-96620-GJ,Long Island Power Solutions
56738,5100-68333,Posigen New York LLC
56739,5138-94111,Sungevity Inc
56740,5321-69269,Long Island Power Solutions
56741,5154-50629,"CLEAN ENERGY SOLUTIONS, LLC"
56742,5330-101706,"Brooklyn SolarWorks, LLC"
56743,02061-052-1,Hudson Valley Clean Energy
56744,5324-78681,"NY SunEdison Residential Services, LLC"
56745,5173-70090,SunRun Inc.
56746,5373-93164,"Empire Solar Solutions, LLC"
56747,5397-99632,Posigen New York LLC
56748,5159-67341,Level Solar
56749,5352-88229,Halco Renewable Energy (dba for Halcyon)
56750,02086-015,"Global Resources Options, Inc."
56751,5149-65727,INNOVATED ENERGY SOLUTIONS
56752,5171-56371,1st Light Energy
56753,68087,Kasselman Solar LLC
56754,5320-66844,Sunnova Energy Corp.
56755,5137-48230,Sungevity Development LLC
56756,02033-047,"Renovus Energy, Inc"
56757,5138-55640,Sungevity Inc
56758,67930,"Apex Solar Power, LLC"
56759,5292-48063,SunPower Capital LLC
56760,5438-102036,Vivint Solar Development LLC
56761,5321-84305,Long Island Power Solutions
56762,5098-88144,NRG Residential Solar Solutions
56763,5245-97573,"OneRoof Energy NY, LLC"
56764,5245-72642,"OneRoof Energy NY, LLC"
56765,5273-95608,"Green Street Power Partners, LLC"
56766,5293-67617-GJ,Direct Energy Solar (formerly Astrum)
56767,5153-61994,SunRun Inc.
56768,5171-83846,1st Light Energy
56769,5388-88155,Kilowatt Systems LLC
56770,65960,SunBlue Energy (dba for Florenton River LLC)
56771,5293-78533,Direct Energy Solar (formerly Astrum)
56772,5098-90675,NRG Residential Solar Solutions
56773,5159-62140,Level Solar
56774,5122-88013,Kasselman Solar LLC
56775,5247-70139,"Renovus Energy, Inc"
56776,02024-001,Four Winds Renewable Energy
56777,5229-83453,Halco Renewable Energy (dba for Halcyon)
56778,5153-70495,SunRun Inc.
56779,5293-101694,Direct Energy Solar (formerly Astrum)
56780,5336-97669,Kasselman Solar LLC
56781,5293-88971,Direct Energy Solar (formerly Astrum)
56782,5218-72693-GJ,"Accord Power, Inc."
56783,02014-014-1,"Solar Energy Systems, Inc."
56784,02116-014,
56785,5159-80296,Level Solar
56786,5247-102508,"Renovus Energy, Inc"
56787,02015-006,"altPower, Inc."
56788,02003-032,"Renewable Power Systems, LLC"
56789,5138-95810,Sungevity Inc
56790,5194-81660-GJ,GreenLeaf Solar
56791,02005-017,"Global Resources Options, Inc."
56792,5247-80504,"Renovus Energy, Inc"
56793,5438-102032,Vivint Solar Development LLC
56794,02170-017,Mercury Solar
56795,5320-78791,Sunnova Energy Corp.
56796,5159-102281,Level Solar
56797,5098-83909,NRG Residential Solar Solutions
56798,5138-48061,Sungevity Inc
56799,5425-99412,Kilowatt Systems LLC
56800,5156-54203,Long Island Power Solutions
56801,5220-48970,Dow Chemical
56802,5122-97652,Kasselman Solar LLC
56803,5159-94839,Level Solar
56804,5137-62693,Sungevity Development LLC
56805,02094-013,The Solar Center
56806,5160-90684,Vivint Solar Development LLC
56807,5379-93408,SunPower Capital LLC
56808,5173-49892,SunRun Inc.
56809,02094-039,The Solar Center
56810,68320,"Solar Liberty Energy Systems, Inc."
56811,5397-100786,Posigen New York LLC
56812,5159-78657,Level Solar
56813,5153-77391,SunRun Inc.
56814,5105-56290,Kilowatt Systems LLC
56815,5137-54359,Sungevity Development LLC
56816,5122-85873,Kasselman Solar LLC
56817,5105-53276,Kilowatt Systems LLC
56818,5379-100519,SunPower Capital LLC
56819,5159-65408,Level Solar
56820,5194-0105-Financing,GreenLeaf Solar
56821,5137-46790,Sungevity Development LLC
56822,5292-56463,SunPower Capital LLC
56823,68481,"Solar Liberty Energy Systems, Inc."
56824,5292-40411,SunPower Capital LLC
56825,5098-92259,NRG Residential Solar Solutions
56826,5105-56192,Kilowatt Systems LLC
56827,5153-77122,SunRun Inc.
56828,5297-87670,SunPower Capital LLC
56829,5140-64112-GJ,BUILT WELL SOLAR CORP
56830,5153-84923-IRH,SunRun Inc.
56831,5425-99367,Kilowatt Systems LLC
56832,5098-93015,NRG Residential Solar Solutions
56833,5100-81921,Posigen New York LLC
56834,5105-62255,Kilowatt Systems LLC
56835,5254-59950,"ECNY Electric, Inc."
56836,5297-66418,SunPower Capital LLC
56837,5293-99793,Direct Energy Solar (formerly Astrum)
56838,5137-48330,Sungevity Development LLC
56839,5273-88863,"Green Street Power Partners, LLC"
56840,5200-56673,National Energy Connection
56841,5104-42507,SunRun Inc.
56842,5098-95733,NRG Residential Solar Solutions
56843,5100-46779,Posigen New York LLC
56844,5153-61517,SunRun Inc.
56845,5293-99854,Direct Energy Solar (formerly Astrum)
56846,5159-81585,Level Solar
56847,02029-014-1,Bannertown Power & Light
56848,51006-1,"Solar Liberty Energy Systems, Inc"
56849,5100-72728,Posigen New York LLC
56850,5292-54810,SunPower Capital LLC
56851,5321-89954,Long Island Power Solutions
56852,5098-84079,NRG Residential Solar Solutions
56853,5098-87740,NRG Residential Solar Solutions
56854,5293-56780-GJ,Direct Energy Solar (formerly Astrum)
56855,5330-101295,"Brooklyn SolarWorks, LLC"
56856,5156-50286,Long Island Power Solutions
56857,5297-83872,SunPower Capital LLC
56858,5245-70835,"OneRoof Energy NY, LLC"
56859,5137-100291,Sungevity Development LLC
56860,02006-047,"ETM Solar Works, Inc."
56861,5140-47716,BUILT WELL SOLAR CORP
56862,51016-1,Nextera Energy Capital Holdings Inc
56863,02117-004,1st Light Energy
56864,02008-012,"Akeena Solar, Inc."
56865,5293-79222-GJ,Direct Energy Solar (formerly Astrum)
56866,02005-043,"Global Resources Options, Inc."
56867,5122-76051,Kasselman Solar LLC
56868,5292-54534,SunPower Capital LLC
56869,5159-101459,Level Solar
56870,68001,Grid City Electric Corp
56871,5209-89131,SunRun Inc.
56872,5159-58814,Level Solar
56873,49852B-1,Solar Mission II LLC
56874,5153-67484,SunRun Inc.
56875,5181-96358,Grid City Electric Corp
56876,67827,Harvest Power
56877,5293-89421-GJ,Direct Energy Solar (formerly Astrum)
56878,5105-56028,Kilowatt Systems LLC
56879,5105-54119,Kilowatt Systems LLC
56880,5159-63814,Level Solar
56881,5159-66498,Level Solar
56882,5292-60268,SunPower Capital LLC
56883,5321-84188,Long Island Power Solutions
56884,5159-101196,Level Solar
56885,5153-55038,SunRun Inc.
56886,48625,"Apex Solar Power, LLC"
56887,5137-46049,Sungevity Development LLC
56888,5159-101606,Level Solar
56889,5114-59565,Sunnova Energy Corp.
56890,5105-59391,Kilowatt Systems LLC
56891,5148-76928,New York Solar Solutions LLC
56892,02061-047,Hudson Valley Clean Energy
56893,5218-64808-GJ,"Accord Power, Inc."
56894,5347-102125,SunRun Inc.
56895,5352-99397,Halco Renewable Energy (dba for Halcyon)
56896,5293-55896-GJ,Direct Energy Solar (formerly Astrum)
56897,68354,TM Montante Solar Developments LLC
56898,5156-47277,Long Island Power Solutions
56899,5173-80026,SunRun Inc.
56900,5159-101946,Level Solar
56901,5156-56793,Long Island Power Solutions
56902,5137-77916,Sungevity Development LLC
56903,5292-96445,SunPower Capital LLC
56904,5397-99028,Posigen New York LLC
56905,5159-52195,Level Solar
56906,5409-100189,GreenSpark Solar (dba for Sustainable Energy Developments)
56907,5170-99730,R & B Quality Electric
56908,48725,Tesla Energy Operations Inc.
56909,5138-98785,Sungevity Inc
56910,5137-59136,Sungevity Development LLC
56911,5293-68394-GJ,Direct Energy Solar (formerly Astrum)
56912,5122-76214,Kasselman Solar LLC
56913,5379-97194,SunPower Capital LLC
56914,48750,Tesla Energy Operations Inc.
56915,5138-72159,Sungevity Inc
56916,5104-42555,SunRun Inc.
56917,5098-87962,NRG Residential Solar Solutions
56918,5105-50792,Kilowatt Systems LLC
56919,5209-84462,SunRun Inc.
56920,5347-80455,SunRun Inc.
56921,5156-47108,Long Island Power Solutions
56922,5171-100476,1st Light Energy
56923,5336-92351,Kasselman Solar LLC
56924,5194-84211-GJ,GreenLeaf Solar
56925,5171-99808,1st Light Energy
56926,02174-005-1,ISI Solar
56927,66138,Green Logic LLC
56928,5191-102587-MI,Sunrise Electrical Services
56929,48714,Tesla Energy Operations Inc.
56930,5171-54461,1st Light Energy
56931,5209-51516,SunRun Inc.
56932,5321-71629,Long Island Power Solutions
56933,5125-81058,Geotherm Inc
56934,5245-77223,"OneRoof Energy NY, LLC"
56935,5161-57178,Long Island Solar Solutions
56936,02003-073,"Renewable Power Systems, LLC"
56937,5171-54133,1st Light Energy
56938,5159-71597,Level Solar
56939,5149-69556-GJ,INNOVATED ENERGY SOLUTIONS
56940,5159-91323,Level Solar
56941,5352-76318,Halco Renewable Energy (dba for Halcyon)
56942,5292-58710,SunPower Capital LLC
56943,68560,"Empire Solar Solutions, LLC"
56944,68074,Renewable Rochester (dba for Viola Homes)
56945,68166,1st Light Energy
56946,02023-002,Vermont Solar Engineering
56947,5156-52588-GJ,Long Island Power Solutions
56948,5137-55610,Sungevity Development LLC
56949,68567,Vivint Solar Development LLC
56950,02033-022,"Renovus Energy, Inc"
56951,5159-100100,Level Solar
56952,5129-102743,"OnForce Solar, Inc."
56953,5098-85638,NRG Residential Solar Solutions
56954,5293-58895-GJ,Direct Energy Solar (formerly Astrum)
56955,5159-80303,Level Solar
56956,02096-002,T-KAR Smart Energy Systems Electric and Construction Inc.
56957,5105-59960,Kilowatt Systems LLC
56958,5159-67710,Level Solar
56959,5290-72829,Amergy Solar Inc.
56960,5105-45515,Kilowatt Systems LLC
56961,5105-49034,Kilowatt Systems LLC
56962,5181-56545,Grid City Electric Corp
56963,5138-93082,Sungevity Inc
56964,5156-58319,Long Island Power Solutions
